,자치구,동,공원수,유치원,초등학교,중학교,고등학교,특수학교,학원,여가시설,음식점,의료시설,공기오염도,cctv,노인복지시설,체육시설,공공도서관
183,노원구,상계9동,4.136851016,1.599887133,0.95993228,0.594243792,0.571388262,0.045711061,58,6,53,25,0.044145954,36.02031603,6.033860045,0.914221219,0.251410835
184,노원구,상계10동,4.085778781,1.58013544,0.948081264,0.586907449,0.564334086,0.045146727,52,5,35,7,0.043600942,35.57562077,5.959367946,0.902934537,0.248306998
185,노원구,상계3.4동,28.70259594,11.10045147,6.66027088,4.123024831,3.964446953,0.317155756,62,25,217,34,0.306296619,249.9187359,41.86455982,6.343115124,1.744356659
186,노원구,상계6.7동,5.669018059,2.192437923,1.315462754,0.814334086,0.783013544,0.062641084,153,32,318,140,0.060496307,49.36117381,8.268623025,1.25282167,0.344525959
187,노원구,중계2.3동,4.596501129,1.77765237,1.066591422,0.66027088,0.634875847,0.050790068,95,14,290,67,0.04905106,40.02257336,6.704288939,1.015801354,0.279345372
188,노원구,공릉1동,7.201185102,2.784988713,1.670993228,1.034424379,0.994638826,0.079571106,72,37,474,61,0.076846661,62.7020316,10.503386,1.591422122,0.437641084
190,은평구,녹번동,7.83237967,3.012453719,1.867721306,1.084483339,1.084483339,0.060249074,66,15,324,30,0.128356724,150.9239313,10.84483339,1.385728711,0.481992595
191,은평구,불광1동,13.69572535,5.267586671,3.265903736,1.896331202,1.896331202,0.105351733,64,17,226,37,0.224444997,263.9060922,18.96331202,2.423089869,0.842813867
192,은평구,갈현1동,4.244362168,1.632446988,1.012117132,0.587680916,0.587680916,0.03264894,97,90,676,66,0.069556437,81.78559408,5.876809155,0.750925614,0.261191518
193,은평구,갈현2동,4.200605857,1.615617637,1.001682935,0.581622349,0.581622349,0.032312353,147,43,485,50,0.06883936,80.94244362,5.816223494,0.743184113,0.258498822
194,은평구,구산동,6.038370919,2.322450353,1.439919219,0.836082127,0.836082127,0.046449007,85,3,163,36,0.09895658,116.3547627,8.360821272,1.068327163,0.371592057
195,은평구,대조동,3.719286436,1.430494783,0.886906765,0.514978122,0.514978122,0.028609896,75,45,623,133,0.060951517,71.66778862,5.149781218,0.6580276,0.228879165
196,은평구,응암1동,5.250757321,2.019522046,1.252103669,0.727027937,0.727027937,0.040390441,98,23,345,74,0.0860492,101.1780545,7.270279367,0.928980141,0.323123527
197,은평구,응암2동,3.412992258,1.31268933,0.813867385,0.472568159,0.472568159,0.026253787,24,2,54,6,0.05593198,65.76573544,4.725681589,0.603837092,0.210030293
198,은평구,신사1동,3.675530125,1.413665433,0.876472568,0.508919556,0.508919556,0.028273309,61,22,154,22,0.06023444,70.82463817,5.089195557,0.650286099,0.226186469
199,은평구,신사2동,4.375631101,1.682935039,1.043419724,0.605856614,0.605856614,0.033658701,38,3,86,9,0.071707667,84.31504544,6.058566139,0.774150118,0.269269606
200,은평구,증산동,3.544261192,1.363177381,0.845169976,0.490743857,0.490743857,0.027263548,51,14,149,14,0.05808321,68.29518681,4.907438573,0.627061595,0.218108381
201,은평구,수색동,5.64456412,2.1709862,1.346011444,0.781555032,0.781555032,0.043419724,20,7,89,12,0.09250289,108.7664086,7.81555032,0.998653652,0.347357792
202,은평구,진관동,50.45102659,19.404241,12.03062942,6.985526759,6.985526759,0.38808482,212,9,514,78,0.826789399,972.1524739,69.85526759,8.925950858,3.104678559
203,은평구,불광2동,6.038370919,2.322450353,1.439919219,0.836082127,0.836082127,0.046449007,104,23,402,72,0.09895658,116.3547627,8.360821272,1.068327163,0.371592057
204,은평구,응암3동,2.756647593,1.060249074,0.657354426,0.381689667,0.381689667,0.021204981,67,38,472,57,0.04517583,53.11847863,3.816896668,0.487714574,0.169639852
205,은평구,역촌동,5.075732077,1.952204645,1.21036688,0.702793672,0.702793672,0.039044093,124,21,411,46,0.083180894,97.80545271,7.027936722,0.898014137,0.312352743
207,서대문구,천연동,6.492342598,1.430516166,0.990357345,0.770277935,0.385138968,0.055019853,52,8,189,44,0.113807369,148.8287011,6.932501418,1.155416903,0.22007941
208,서대문구,홍제1동,8.23255814,1.813953488,1.255813953,0.976744186,0.488372093,0.069767442,59,16,176,43,0.144312437,188.7209302,8.790697674,1.465116279,0.279069767
209,서대문구,홍제3동,5.421440726,1.194554736,0.826999433,0.643221781,0.321610891,0.045944413,34,16,203,32,0.095035019,124.279637,5.788996029,0.964832672,0.183777652
210,서대문구,홍제2동,7.027793534,1.54849688,1.072036302,0.833806012,0.416903006,0.059557572,37,9,104,23,0.123193544,161.1032331,7.504254112,1.250709019,0.238230289
211,서대문구,홍은1동,10.57515598,2.330119115,1.613159387,1.254679524,0.627339762,0.089619966,49,7,185,19,0.185376951,242.4220079,11.29211571,1.882019285,0.358479864
212,서대문구,홍은2동,13.7878616,3.038003403,2.103233125,1.635847986,0.817923993,0.116846285,63,12,235,21,0.241694,316.0692002,14.72263188,2.45377198,0.467385139
213,서대문구,남가좌1동,3.413499716,0.752127056,0.520703347,0.404991492,0.202495746,0.028927964,7,3,121,24,0.059836864,78.2501418,3.644923426,0.607487238,0.115711855
214,서대문구,남가좌2동,5.153715258,1.135564379,0.786159955,0.611457742,0.305728871,0.043675553,36,16,239,26,0.090341932,118.142371,5.503119682,0.917186614,0.174702212
215,서대문구,북가좌1동,3.681225184,0.811117413,0.561542825,0.43675553,0.218377765,0.031196824,29,3,54,23,0.064529951,84.38740783,3.930799773,0.655133296,0.124787294
216,서대문구,북가좌2동,5.622234827,1.238797504,0.857629041,0.66704481,0.333522405,0.047646058,67,15,240,43,0.098554835,128.8825865,6.00340329,1.000567215,0.190584231
217,서대문구,충현동,7.496313103,1.651730006,1.143505389,0.88939308,0.44469654,0.063528077,58,21,544,51,0.131406447,171.8434487,8.00453772,1.33408962,0.254112309
218,서대문구,북아현동,3.078842881,0.678389109,0.469653999,0.365286444,0.182643222,0.026091889,37,4,140,20,0.053970505,70.57855927,3.287577992,0.547929665,0.104367555
219,서대문구,신촌동,17.60294952,3.878615995,2.685195689,2.088485536,1.044242768,0.149177538,165,150,2187,137,0.308570495,403.5252411,18.79636982,3.132728304,0.596710153
220,서대문구,연희동,20.41406693,4.498014748,3.11401021,2.422007941,1.211003971,0.173000567,80,14,399,38,0.357847912,467.9665343,21.79807147,3.633011912,0.692002269
222,마포구,용강동,5.001257862,0.986163522,0.774842767,0.493081761,0.316981132,0.035220126,53,23,291,24,0.077024884,61.38867925,6.093081761,1.444025157,0.211320755
223,마포구,대흥동,5.239412998,1.03312369,0.811740042,0.516561845,0.332075472,0.036897275,76,35,350,83,0.080692735,64.31194969,6.383228512,1.51278826,0.221383648
224,마포구,염리동,2.560167715,0.504821803,0.396645702,0.252410901,0.162264151,0.01802935,29,7,138,13,0.039429405,31.42515723,3.119077568,0.739203354,0.108176101
225,마포구,신수동,4.644025157,0.91572327,0.719496855,0.457861635,0.294339623,0.032704403,41,9,154,22,0.071523106,57.00377358,5.657861635,1.340880503,0.196226415
226,마포구,서교동,9.823899371,1.937106918,1.522012579,0.968553459,0.622641509,0.06918239,232,116,2463,162,0.151298879,120.5849057,11.96855346,2.836477987,0.41509434
227,마포구,합정동,10.24067086,2.019287212,1.586582809,1.009643606,0.649056604,0.0721174,33,10,414,22,0.157717619,125.7006289,12.47631027,2.956813417,0.432704403
228,마포구,망원1동,6.7278826,1.326624738,1.042348008,0.663312369,0.426415094,0.047379455,27,14,293,35,0.103616808,82.58238994,8.196645702,1.942557652,0.28427673
229,마포구,망원2동,3.989098532,0.786582809,0.61802935,0.393291405,0.252830189,0.028092243,49,11,185,12,0.061436514,48.96477987,4.859958071,1.151781971,0.168553459
230,마포구,연남동,3.81048218,0.751362683,0.590356394,0.375681342,0.241509434,0.026834382,24,7,480,12,0.058685626,46.77232704,4.642348008,1.100209644,0.161006289
231,마포구,성산1동,4.763102725,0.939203354,0.737945493,0.469601677,0.301886792,0.033542977,45,4,177,13,0.073357032,58.46540881,5.80293501,1.375262055,0.201257862
232,마포구,성산2동,12.3245283,2.430188679,1.909433962,1.21509434,0.781132075,0.086792453,100,8,235,36,0.189811321,151.2792453,15.01509434,3.558490566,0.520754717
233,마포구,상암동,50.01257862,9.86163522,7.748427673,4.93081761,3.169811321,0.352201258,70,11,447,43,0.770248838,613.8867925,60.93081761,14.44025157,2.113207547
234,마포구,도화동,3.691404612,0.7278826,0.571907757,0.3639413,0.233962264,0.025995807,49,19,320,61,0.0568517,45.31069182,4.497274633,1.065828092,0.155974843
235,마포구,서강동,8.63312369,1.70230608,1.337526205,0.85115304,0.547169811,0.060796646,84,17,557,25,0.132959621,105.9685535,10.51781971,2.492662474,0.364779874
236,마포구,공덕동,6.013417191,1.185744235,0.931656184,0.592872117,0.381132075,0.042348008,52,21,207,33,0.092613253,73.81257862,7.326205451,1.736268344,0.25408805
237,마포구,아현동,4.524947589,0.892243187,0.701048218,0.446121593,0.286792453,0.031865828,43,6,305,54,0.069689181,55.54213836,5.51278826,1.306498952,0.191194969
239,양천구,목1동,9.799540494,4.049396898,2.429638139,1.538770821,1.133831132,0,289,70,749,130,0.155901781,202.307869,15.95462378,2.834577829,0.728891442
240,양천구,목2동,7.158529581,2.958070075,1.774842045,1.124066628,0.828259621,0,56,17,161,16,0.113885698,147.7851809,11.65479609,2.070649052,0.532452613
241,양천구,목3동,3.683515221,1.522113728,0.913268237,0.578403217,0.426191844,0,52,28,167,41,0.058601379,76.04480184,5.997128087,1.065479609,0.273980471
242,양천구,목4동,3.96151637,1.636990235,0.982194141,0.622056289,0.458357266,0,100,17,202,31,0.063024124,81.78403217,6.449741528,1.145893165,0.294658242
243,양천구,신월1동,4.517518667,1.866743251,1.120045951,0.709362435,0.52268811,0,50,17,204,11,0.071869615,93.26249282,7.354968409,1.306720276,0.336013785
244,양천구,신월2동,4.239517519,1.751866743,1.051120046,0.665709362,0.490522688,0,57,6,75,13,0.06744687,87.52326249,6.902354968,1.22630672,0.315336014
245,양천구,신월3동,6.046524986,2.498564044,1.499138426,0.949454337,0.699597932,0,32,3,87,12,0.096194716,124.8282596,9.844342332,1.748994831,0.449741528
246,양천구,신월4동,3.614014934,1.493394601,0.89603676,0.567489948,0.418150488,0,57,9,131,15,0.057495692,74.60999426,5.883974727,1.045376221,0.268811028
247,양천구,신월5동,4.795519816,1.981619759,1.188971855,0.753015508,0.554853532,0,53,17,142,14,0.076292361,99.00172315,7.80758185,1.387133831,0.356691557
248,양천구,신월6동,2.849511775,1.177484204,0.706490523,0.447443998,0.329695577,0,16,9,68,8,0.045333142,58.82711086,4.639287766,0.824238943,0.211947157
249,양천구,신월7동,8.270534176,3.417576106,2.050545663,1.29867892,0.95692131,0,51,14,124,16,0.13157668,170.7421022,13.46524986,2.392303274,0.615163699
250,양천구,신정1동,4.865020103,2.010338886,1.206203331,0.763928777,0.562894888,0,59,10,154,21,0.077398047,100.4365307,7.92073521,1.40723722,0.361860999
251,양천구,신정2동,3.614014934,1.493394601,0.89603676,0.567489948,0.418150488,0,176,7,182,39,0.057495692,74.60999426,5.883974727,1.045376221,0.268811028
252,양천구,신정3동,18.90407812,7.811602527,4.686961516,2.96840896,2.187248708,0,122,23,195,39,0.300746697,390.2676623,30.77771396,5.468121769,1.406088455
253,양천구,신정6동,6.67202757,2.757036186,1.654221712,1.047673751,0.771970132,0,110,1,74,17,0.106145893,137.7415279,10.86272257,1.92992533,0.496266513
254,양천구,신정7동,8.40953475,3.47501436,2.085008616,1.320505457,0.973004021,0,79,11,117,26,0.133788053,173.6117174,13.69155658,2.432510052,0.625502585
255,양천구,목5동,12.57955198,5.198161976,3.118897186,1.975301551,1.455485353,0,356,11,164,25,0.200129236,259.7001723,20.48075818,3.638713383,0.935669156
256,양천구,신정4동,7.019529006,2.900631821,1.740379092,1.102240092,0.81217691,0,166,88,475,102,0.111674325,144.9155658,11.42848937,2.030442275,0.522113728
258,강서구,염창동,7.138030888,1.931467181,1.511583012,0.881756757,0.965733591,0.041988417,144,32,219,41,0.08110154,50.47007722,10.53909266,1.133687259,0.377895753
259,강서구,등촌1동,2.420366795,0.65492278,0.512548263,0.298986486,0.32746139,0.014237452,68,32,331,71,0.027499948,17.11341699,3.573600386,0.384411197,0.128137066
260,강서구,등촌2동,3.774131274,1.021235521,0.799227799,0.466216216,0.510617761,0.022200772,42,6,90,10,0.042881274,26.68532819,5.572393822,0.599420849,0.19980695
261,강서구,등촌3동,3.240830116,0.876930502,0.686293436,0.400337838,0.438465251,0.019063707,191,56,524,102,0.036821964,22.91457529,4.784990347,0.514720077,0.171573359
262,강서구,화곡본동,4.553571429,1.232142857,0.964285714,0.5625,0.616071429,0.026785714,69,21,179,27,0.051737189,32.19642857,6.723214286,0.723214286,0.241071429
263,강서구,화곡2동,1.928088803,0.521718147,0.408301158,0.238175676,0.260859073,0.011341699,47,9,55,10,0.021906738,13.63272201,2.846766409,0.306225869,0.10207529
264,강서구,화곡3동,2.092181467,0.566119691,0.443050193,0.258445946,0.283059846,0.01230695,110,37,206,35,0.023771141,14.79295367,3.089044402,0.332287645,0.110762548
265,강서구,화곡4동,3.363899614,0.91023166,0.712355212,0.415540541,0.45511583,0.019787645,58,40,205,20,0.038220266,23.78474903,4.966698842,0.534266409,0.178088803
266,강서구,화곡6동,4.594594595,1.243243243,0.972972973,0.567567568,0.621621622,0.027027027,69,136,681,55,0.05220329,32.48648649,6.783783784,0.72972973,0.243243243
267,강서구,화곡8동,2.174227799,0.588320463,0.46042471,0.268581081,0.294160232,0.012789575,43,26,170,39,0.024703343,15.3730695,3.210183398,0.345318533,0.115106178
268,강서구,가양1동,19.28088803,5.217181467,4.083011583,2.381756757,2.608590734,0.113416988,77,46,976,49,0.219067379,136.3272201,28.46766409,3.062258687,1.020752896
269,강서구,가양2동,4.102316602,1.11003861,0.868725869,0.506756757,0.555019305,0.024131274,14,13,102,45,0.046610081,29.00579151,6.056949807,0.651544402,0.217181467
270,강서구,가양3동,4.061293436,1.098938224,0.86003861,0.501689189,0.549469112,0.023889961,33,,63,14,0.04614398,28.71573359,5.996380309,0.645028958,0.215009653
271,강서구,발산1동,12.14285714,3.285714286,2.571428571,1.5,1.642857143,0.071428571,164,40,356,67,0.137965839,85.85714286,17.92857143,1.928571429,0.642857143
272,강서구,공항동,44.59218147,12.06611969,9.443050193,5.508445946,6.033059846,0.26230695,31,33,301,25,0.506651576,315.2929537,65.8390444,7.082287645,2.360762548
273,강서구,방화1동,4.266409266,1.154440154,0.903474903,0.527027027,0.577220077,0.025096525,81,35,333,63,0.048474484,30.16602317,6.299227799,0.677606178,0.225868726
274,강서구,방화2동,26.29584942,7.11534749,5.568532819,3.248310811,3.557673745,0.154681467,47,35,285,9,0.298770617,185.9271236,38.82504826,4.176399614,1.392133205
275,강서구,방화3동,9.763513514,2.641891892,2.067567568,1.206081081,1.320945946,0.057432432,27,4,79,10,0.110931992,69.03378378,14.41554054,1.550675676,0.516891892
276,강서구,화곡1동,4.594594595,1.243243243,0.972972973,0.567567568,0.621621622,0.027027027,74,58,430,55,0.05220329,32.48648649,6.783783784,0.72972973,0.243243243
277,강서구,우장산동,5.579150579,1.50965251,1.181467181,0.689189189,0.754826255,0.032818533,109,18,182,60,0.06338971,39.44787645,8.237451737,0.886100386,0.295366795
279,구로구,신도림동,7.598409543,2.776341948,1.753479125,0.949801193,1.022862823,0.14612326,130,17,360,42,0.151602883,200.6272366,16.00049702,2.630218688,0.803677932
280,구로구,구로1동,5.272365805,1.926441352,1.216699801,0.659045726,0.709741551,0.10139165,62,6,101,22,0.105193837,139.2107356,11.10238569,1.825049702,0.557654076
281,구로구,구로3동,5.272365805,1.926441352,1.216699801,0.659045726,0.709741551,0.10139165,107,69,801,57,0.105193837,139.2107356,11.10238569,1.825049702,0.557654076
282,구로구,구로4동,2.377733598,0.868787276,0.548707753,0.2972167,0.320079523,0.045725646,72,43,362,39,0.047440358,62.78131213,5.00695825,0.82306163,0.251491054
283,구로구,구로5동,5.324055666,1.945328032,1.228628231,0.665506958,0.716699801,0.102385686,81,40,459,38,0.106225149,140.5755467,11.2112326,1.842942346,0.563121272
284,구로구,고척1동,5.996023857,2.190854871,1.383697813,0.749502982,0.807157058,0.115308151,40,38,278,26,0.119632207,158.3180915,12.62624254,2.07554672,0.634194831
285,구로구,고척2동,5.272365805,1.926441352,1.216699801,0.659045726,0.709741551,0.10139165,105,15,151,25,0.105193837,139.2107356,11.10238569,1.825049702,0.557654076
286,구로구,개봉2동,4.135188867,1.510934394,0.954274354,0.516898608,0.55666004,0.079522863,84,12,148,26,0.08250497,109.1848907,8.707753479,1.431411531,0.437375746
287,구로구,개봉3동,4.186878728,1.529821074,0.966202783,0.523359841,0.56361829,0.080516899,33,4,108,14,0.083536282,110.5497018,8.816600398,1.449304175,0.442842942
288,구로구,오류1동,3.049701789,1.114314115,0.703777336,0.381212724,0.410536779,0.058648111,53,24,175,34,0.060847416,80.52385686,6.421968191,1.055666004,0.322564612
289,구로구,오류2동,23.77733598,8.687872763,5.487077535,2.972166998,3.200795229,0.457256461,160,22,249,36,0.474403579,627.8131213,50.0695825,8.230616302,2.514910537
290,구로구,수궁동,13.80119284,5.042743539,3.184890656,1.725149105,1.857852883,0.265407555,45,19,152,11,0.275360338,364.4045726,29.06212724,4.777335984,1.459741551
291,구로구,가리봉동,2.067594433,0.755467197,0.477137177,0.258449304,0.27833002,0.039761431,23,52,240,8,0.041252485,54.59244533,4.35387674,0.715705765,0.218687873
292,구로구,구로2동,9.097415507,3.324055666,2.099403579,1.137176938,1.224652087,0.174950298,61,41,528,49,0.181510934,240.2067594,19.15705765,3.149105368,0.96222664
293,구로구,개봉1동,6.771371769,2.47415507,1.562624254,0.846421471,0.911530815,0.130218688,84,36,280,24,0.135101889,178.7902584,14.25894632,2.343936382,0.716202783
295,금천구,가산동,10.64516129,3.677419355,3.483870968,1.741935484,1.161290323,0,94,63,936,58,0.382258065,295.3548387,16.4516129,2.516129032,0.774193548
296,금천구,독산1동,8.828725038,3.049923195,2.889400922,1.444700461,0.963133641,0,95,29,361,26,0.31703149,244.9569892,13.64439324,2.086789555,0.642089094
297,금천구,독산2동,2.534562212,0.875576037,0.829493088,0.414746544,0.276497696,0,52,22,139,22,0.091013825,70.32258065,3.917050691,0.599078341,0.184331797
298,금천구,독산3동,3.886328725,1.342549923,1.271889401,0.6359447,0.423963134,0,44,21,259,22,0.139554531,107.827957,6.006144393,0.91858679,0.282642089
