,Unnamed: 0,자치구,동,공원수,유치원,초등학교,중학교,고등학교,특수학교,학원,여가시설,음식점,의료시설,공기오염도,cctv,노인복지시설,체육시설,공공도서관
0,3,종로구,사직동,0.19017582910938446,0.10449963986446695,0.1202184345584297,0.120870647481455,0.24263499037018785,0.7095068124851149,0.13107416879795397,0.21684447913956112,0.5165753643837286,0.20965487581980433,0.18518480913641125,0.20332406156574936,0.09916456307923896,0.11783183131022193,0.20002690757373592
1,4,종로구,삼청동,0.23037559788037562,0.12658899469954402,0.14563046128473295,0.1464205403919521,0.29392368726596807,0.8594838620264217,0.03516624040920716,0.017347558331164886,0.24152564971923596,0.05913342651327814,0.22432956629215967,0.24630313155882388,0.12012617803598494,0.1427393728408891,0.24230901830293616
2,5,종로구,부암동,0.3509749042282249,0.19285705909192125,0.22186654179748963,0.22307021938451085,0.4477897788966263,1.3094150106503417,0.13107416879795397,0.052042674993494666,0.13714390204877752,0.05913342651327814,0.34176383574613617,0.37524034118900224,0.18301102290622281,0.21746199756762802,0.3691553499350614
3,6,종로구,평창동,1.371430572466931,0.7535868342249075,0.8669410684683876,0.871644425802817,1.7497336291726557,5.116524730041052,0.19501278772378516,0.11275912915257177,0.1630488613246577,0.10751532093323299,1.3354384251371647,1.4662475008301277,0.7151135563845988,0.8497303602980085,1.442470465411778
4,7,종로구,무악동,0.05566121829292997,0.03058526044538414,0.0351858832365384,0.035376774999970974,0.07101511911739941,0.20766053039935,0.07672634271099744,0.052042674993494666,0.04876227628400978,0.08601225674658639,0.05420043174594781,0.05950948142937082,0.02902377456720086,0.03448736518594397,0.05854446075328856
5,8,종로구,교남동,0.054115073309347894,0.029735669861782638,0.03420849770236134,0.03439408666048984,0.06904247683234965,0.2018921830031517,0.03836317135549872,0.06939023332465954,0.1066674793712714,0.10751532093323299,0.052694865092235366,0.057856440293954016,0.02821755859854618,0.03352938292820622,0.05691822591752236
6,9,종로구,가회동,0.08349182740451919,0.045877890724503184,0.05277882485480761,0.05306516223888897,0.1065226786760991,0.31149079387501,0.05434782608695652,0.08673779165582444,0.1775251620964731,0.053757660466616494,0.08130064761892171,0.08926422215432225,0.04353566182543731,0.05173104784628467,0.08781669112993286
7,10,종로구,종로1.2.3.4가동,0.3633440638178753,0.19965378353502533,0.22968562690552372,0.23093172505609,0.4635709165481459,1.3555617932679584,0.6138107416879796,1.1449388498568827,1.4765826787251712,0.7526072465326309,0.3538083770289107,0.38846467051872147,0.18946075057936837,0.22512585643795446,0.3821652302876174
8,11,종로구,종로5·6가동,0.09276869713163277,0.05097543411325821,0.058643138727564006,0.058961291492573294,0.11835853175751927,0.34610088514826004,,,,,0.0903340535810026,0.09918246906948343,0.04837295758663746,0.05747894206639822,0.09757410125548094
9,12,종로구,이화동,0.12059930627809776,0.06626806439237726,0.07623608051275671,0.07664967899255878,0.153866091316219,0.44993114862392003,0.11508951406649616,0.38164628328562755,0.3268596332162531,0.16127298139984947,0.1174342694539765,0.1289372097739028,0.06288484487023789,0.0747226247267389,0.12684633163212525
10,13,종로구,창신1동,0.047930493514522686,0.0263373076402306,0.030298955064882574,0.03046333382470029,0.06115190800658982,0.17881878997032832,0.08312020460358056,0.11275912915257177,0.13790581261571516,0.10751532093323299,0.046672594450848114,0.05124427569069059,0.024992694749291423,0.029697453358305575,0.05041328546350669
11,14,종로구,창신2동,0.04019976877099118,0.022089354835077065,0.02541202689322674,0.025549892910497096,0.05128869721021939,0.14997704954130667,0.0319693094629156,0.10408534998698933,0.06857195102438876,0.05913342651327814,0.03914475715574841,0.04297906993147829,0.020961614956745964,0.02490754153066717,0.04228211072920021
12,15,종로구,창신3동,0.035561333889996494,0.019540583084272575,0.022479869789925038,0.02260182841418868,0.04537077066950929,0.13267200390468165,0.03516624040920716,,0.015238211338753057,0.021503064186646596,0.03462805316807361,0.03801994646363168,0.018542967076145896,0.02203359448797909,0.037403405666426165
13,16,종로구,숭인1동,0.035561333889996494,0.019540583084272575,0.022479869789925038,0.02260182841418868,0.04537077066950929,0.13267200390468165,0.0479539641943734,0.017347558331164886,0.05866711365419928,0.06450919255993978,0.03462805316807361,0.03801994646363168,0.018542967076145896,0.02203359448797909,0.037403405666426165
14,17,종로구,숭인2동,0.054115073309347894,0.029735669861782638,0.03420849770236134,0.03439408666048984,0.06904247683234965,0.2018921830031517,0.0959079283887468,0.14745424581490155,0.13485817034796455,0.10751532093323299,0.052694865092235366,0.057856440293954016,0.02821755859854618,0.03352938292820622,0.05691822591752236
15,18,종로구,청운효자동,0.397359252689414,0.21834477603569644,0.2511881111612717,0.2525508651307975,0.5069690446181663,1.4824654497764416,0.09910485933503836,0.04336889582791222,0.1859061783327873,0.06988495860660143,0.38693086354327183,0.4248315758674684,0.20719750168685958,0.24620146853345845,0.4179424011182773
16,19,종로구,혜화동,0.17316823463873937,0.09515414367055838,0.10946719234709398,0.11006107731356747,0.22093592617795804,0.6460549842308734,0.16624040920716113,0.2949084916298031,0.41676508011489605,0.15052144930652617,0.1686235658792307,0.18514060891190795,0.09029618750012937,0.10729402526246999,0.18213832271388136
17,21,중구,소공동,0.24283486727591613,0.139934362170665,0.19105702464933189,0.19920812966434162,0.3599002504771177,0.0,0.079923273657289,0.16480180414606643,0.5775282097387409,0.27953983442640573,0.35650535384275117,0.2467557714801036,0.12822051342563615,0.29558355853511525,0.2649104665951428
18,22,중구,회현동,0.2147171457893808,0.1237314360412191,0.16893463239706938,0.17614192509170107,0.3182275900378818,0.0,0.0479539641943734,0.2602133749674733,0.5013371530449756,0.39780668745296205,0.315225786915965,0.21818405047246267,0.11337392764828098,0.26135809389099396,0.2342366228666153
19,23,중구,명동,0.2530594932393146,0.14582633539072093,0.19910153093805677,0.20759584037056225,0.3750539452108798,0.0,0.13427109974424553,0.5811432040940238,1.0270554442319562,0.8762498656058487,0.37151610435434507,0.25714548824748584,0.1336192718693766,0.30802918206656615,0.2760645913348458
20,24,중구,필동,0.2914018407241241,0.1679212346273688,0.2292684296459677,0.2390497556494234,0.4318803006983169,0.0,0.07352941176470588,0.19082314164281378,0.24304947085311127,0.12901838511987956,0.427806423805994,0.29610692581718845,0.15386461609047222,0.35470027024213835,0.3178925598030763
21,25,중구,장충동,0.347637283662319,0.20032708699911453,0.2735132143174162,0.28518216453363693,0.5152256218912278,0.0,0.02877237851662404,0.10408534998698933,0.12876288581246334,0.03225459627996989,0.5103655576595665,0.3532503676271497,0.18355778761981859,0.4231511996651182,0.3792402467046559
22,26,중구,광희동,0.189155580811133,0.1090015032167872,0.14882336659179543,0.15517264832614946,0.280343353046257,0.0,0.07352941176470588,0.2515395958018909,0.4327652020205869,0.2311579400064509,0.2776989066104428,0.19220975882092384,0.09987703150088392,0.23024403506236674,0.20635131073962013
23,27,중구,을지로동,0.15336938983461096,0.08837959717229937,0.1206675944977966,0.1258156608543772,0.2273054213208702,0.0,0.05754475703324808,0.18214936247723132,0.25904959275880196,0.11289108697989463,0.22516127579332673,0.1558457504020027,0.08098137688438242,0.18668435283702603,0.16731187331744654
24,28,중구,신당5동,0.09969010340470363,0.05744673821842156,0.07843393644026016,0.08178017951618505,0.14774852389000956,0.0,0.05434782608695652,0.06939023332465954,0.12495333297777506,0.09138802279324804,0.1463548285610183,0.10129973776335495,0.052637894984994174,0.12134482936427753,0.10875271801739927
