,동,0~4세,5~9세,10~14세,15~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상+
333,대학동,0.122922272,0.120963128,0.10838401,0.151028971,0.896396661,0.661960589,0.458586158,0.401649841,0.358821479,0.376042004,0.360730103,0.250428207,0.183038438
334,은천동,0.32984143,0.36479646,0.368398853,0.293565431,0.729725226,0.736929759,0.689054315,0.648063381,0.703812707,0.780269234,0.635973115,0.545692469,0.259304454
335,성현동,0.296720707,0.348177652,0.382547505,0.364718898,0.523986141,0.525527468,0.657186968,0.611027521,0.623101655,0.716293783,0.664765959,0.620218034,0.457596095
336,청룡동,0.222284442,0.18226201,0.182330737,0.250414297,1.434566496,0.883601101,0.528808547,0.525499941,0.54898708,0.599960033,0.479371199,0.395444725,0.305064063
337,난곡동,0.215113976,0.216316945,0.22798016,0.262349717,0.545947051,0.50344515,0.52858207,0.647596424,0.655168713,0.723383579,0.602192655,0.480979869,0.213544844
338,삼성동,0.142726416,0.157742458,0.182330737,0.227691093,0.405508619,0.37327617,0.450767777,0.566358664,0.671109321,0.772476071,0.750494026,0.778535003,0.427089689
339,미성동,0.277258014,0.298321228,0.302727753,0.302976051,0.644908607,0.591213508,0.626356375,0.663922781,0.750432572,0.736547765,0.585832545,0.439881909,0.320317267
340,서초1동,0.217162681,0.257455306,0.260014843,0.225854874,0.377116564,0.490203646,0.48788606,0.374788974,0.394541242,0.376567954,0.360669786,0.492787189,0.04575961
341,서초2동,0.236966825,0.222855493,0.222107135,0.19211436,0.35955929,0.509945938,0.423901403,0.311679564,0.289088388,0.2885128,0.221150911,0.369789827,0.259304454
342,서초3동,0.272477703,0.247919925,0.298189507,0.367243698,0.686058898,0.667701963,0.621385283,0.59961457,0.575105939,0.607365017,0.557569676,0.644379803,0.259304454
343,서초4동,0.356133138,0.569126069,0.603319861,0.450103058,0.484222895,0.521085606,0.819057817,0.591556464,0.497228768,0.523101618,0.499827339,0.625050388,0.244051251
344,잠원동,0.346572517,0.419284356,0.518694907,0.445512512,0.599074106,0.647823433,0.810973305,0.684506733,0.541343425,0.471051714,0.524921634,0.758510199,0.33557047
345,반포본동,0.075460617,0.111972625,0.223975824,0.252020988,0.203155755,0.120670904,0.292563057,0.263722104,0.202819201,0.286888822,0.249269136,0.212418859,0.183038438
346,반포1동,0.39744868,0.546786031,0.526970533,0.360128352,0.573524055,0.755664799,0.848508052,0.518081087,0.479752741,0.445997056,0.365585079,0.429818331,0.28981086
347,반포2동,0.219552836,0.357168155,0.423925637,0.270383173,0.186830143,0.212680991,0.477784857,0.265855387,0.21181889,0.261685338,0.230740523,0.353001895,0.396583282
348,반포3동,0.274867859,0.318754189,0.393225732,0.324092564,0.323412198,0.345909241,0.567624609,0.415243637,0.344249561,0.352489672,0.359404873,0.397188467,0.198291641
349,반포4동,0.270770449,0.289330725,0.304062532,0.257070589,0.3149588,0.372369983,0.478181244,0.365509064,0.373832902,0.345671465,0.332937038,0.462847066,0.076266016
